name		label	midi	code
bass drum	0	36	KD
snare drum	1	38	SD
closed hi-hat	2	42	CHH
open hi-hat	3	46	OHH
pedal hi-hat	4	44	PHH
cowbell		5	56	CWB
ride bell	6	53	RDB
low floor tom	7	41	LFT
high floor tom	9	43	HFT
low tom		10	45	LOT
low-mid tom	11	47	LMT
high-mid tom	12	48	MHT
high tom	13	50	HIT
side stick	14	37	SST
hand clap	15	39	CLP
ride cymbal	16	51	RDC
crash cymbal	17	49	CRC
splash cymbal	18	55	SPC
chinese cymbal	19	52	CHC
shaker, maracas	20	70	SHK
tambourine	21	54	TMB
claves, sticks, clicks	22	75	CLV
